iter	Passed	Remaining
451	1073	1302
452	1076	1299
453	1078	1297
454	1080	1294
455	1083	1292
456	1085	1290
457	1088	1288
458	1091	1286
459	1093	1283
460	1095	1281
461	1098	1279
462	1101	1277
463	1103	1275
464	1106	1272
465	1108	1270
466	1110	1267
467	1112	1265
468	1114	1262
469	1116	1259
470	1119	1256
471	1121	1254
472	1123	1251
473	1126	1249
474	1128	1247
475	1131	1245
476	1133	1243
477	1136	1240
478	1138	1238
479	1141	1236
480	1143	1234
481	1146	1231
482	1148	1229
483	1151	1227
484	1154	1225
485	1156	1223
486	1158	1220
487	1161	1218
488	1163	1216
489	1166	1213
490	1168	1211
491	1170	1208
492	1173	1206
493	1175	1204
494	1177	1201
495	1179	1198
496	1181	1196
497	1184	1193
498	1186	1190
499	1188	1188
500	1190	1186
501	1193	1183
502	1195	1181
503	1198	1179
504	1202	1178
505	1205	1176
506	1207	1174
507	1210	1172
508	1212	1169
509	1215	1167
510	1217	1165
511	1220	1163
512	1222	1160
513	1225	1158
514	1227	1156
515	1230	1153
516	1232	1151
517	1235	1149
518	1238	1147
519	1240	1145
520	1243	1143
521	1246	1141
522	1248	1138
523	1251	1136
524	1253	1134
525	1256	1132
526	1259	1130
527	1261	1127
528	1264	1125
529	1266	1123
530	1269	1120
531	1271	1118
532	1274	1116
533	1276	1114
534	1279	1111
535	1281	1109
536	1283	1106
537	1285	1103
538	1287	1101
539	1290	1098
540	1292	1096
541	1294	1093
542	1296	1091
543	1298	1088
544	1300	1086
545	1303	1083
546	1305	1081
547	1307	1078
548	1310	1076
549	1312	1073
550	1315	1071
551	1317	1069
552	1320	1067
553	1322	1064
554	1324	1061
555	1326	1059
556	1328	1056
557	1330	1053
558	1332	1051
559	1334	1048
560	1336	1045
561	1338	1043
562	1340	1040
563	1343	1038
564	1345	1036
565	1348	1033
566	1350	1031
567	1352	1028
568	1354	1026
569	1356	1023
570	1358	1020
571	1360	1018
572	1362	1015
573	1364	1013
574	1366	1010
575	1368	1007
576	1371	1005
577	1373	1002
578	1375	1000
579	1377	997
580	1379	995
581	1382	992
582	1384	990
583	1387	988
584	1389	985
585	1392	983
586	1394	981
587	1396	978
588	1399	976
589	1401	973
590	1403	971
591	1405	968
592	1407	966
593	1409	963
594	1411	961
595	1414	958
596	1416	955
597	1418	953
598	1420	950
599	1422	948
600	1424	945
601	1426	942
602	1429	940
603	1431	938
604	1433	936
605	1436	934
606	1438	931
607	1441	929
608	1443	926
609	1445	924
610	1448	922
611	1450	919
612	1453	917
613	1455	915
614	1457	912
615	1460	910
616	1462	907
617	1464	905
618	1466	902
619	1468	899
620	1470	897
621	1473	895
622	1475	892
623	1477	890
624	1479	887
625	1482	885
626	1484	883
627	1486	880
628	1488	878
629	1490	875
630	1492	873
631	1494	870
632	1497	867
633	1499	865
634	1501	862
635	1503	860
636	1506	858
637	1508	856
638	1511	853
639	1514	851
640	1516	849
641	1518	846
642	1521	844
643	1523	842
644	1525	839
645	1528	837
646	1530	835
647	1533	832
648	1535	830
649	1537	828
650	1540	825
651	1542	823
652	1546	821
653	1549	819
654	1551	817
655	1553	814
656	1556	812
657	1558	810
658	1560	807
659	1563	805
660	1565	802
661	1567	800
662	1569	797
663	1571	795
664	1574	793
665	1577	791
666	1579	788
667	1582	786
668	1584	784
669	1587	781
670	1589	779
671	1592	777
672	1595	775
673	1598	772
674	1600	770
675	1603	768
676	1606	766
677	1608	764
678	1611	761
679	1613	759
680	1615	756
681	1618	754
682	1620	752
683	1623	749
684	1625	747
685	1628	745
686	1631	743
687	1633	740
688	1636	738
689	1638	736
690	1640	733
691	1643	731
692	1645	728
693	1647	726
694	1649	723
695	1651	721
696	1653	718
697	1655	716
698	1657	713
699	1659	711
700	1662	708
701	1664	706
702	1667	704
703	1669	701
704	1671	699
705	1673	697
706	1675	694
707	1677	692
708	1680	689
709	1682	687
710	1685	685
711	1688	682
712	1690	680
713	1692	678
714	1695	675
715	1697	673
716	1700	671
717	1703	668
718	1705	666
719	1707	664
720	1709	661
721	1712	659
722	1714	656
723	1716	654
724	1719	652
725	1721	649
726	1724	647
727	1726	645
728	1728	642
729	1731	640
730	1733	637
731	1735	635
732	1738	633
733	1740	630
734	1742	628
735	1744	625
736	1746	623
737	1748	620
738	1750	618
739	1752	615
740	1754	613
741	1756	610
742	1758	608
743	1761	605
744	1763	603
745	1765	601
746	1768	598
747	1770	596
748	1773	594
749	1775	591
750	1778	589
751	1780	587
752	1783	584
753	1785	582
754	1790	581
755	1793	578
756	1796	576
757	1798	574
758	1800	571
759	1802	569
760	1804	566
761	1806	564
762	1808	561
763	1810	559
764	1812	556
765	1815	554
766	1817	552
767	1820	549
768	1822	547
769	1824	544
770	1826	542
771	1828	539
772	1830	537
773	1832	535
774	1834	532
775	1837	530
776	1839	527
777	1841	525
778	1843	523
779	1845	520
780	1847	518
781	1849	515
782	1851	513
783	1853	510
784	1855	508
785	1857	505
786	1860	503
787	1862	501
788	1865	498
789	1867	496
790	1869	494
791	1872	491
792	1874	489
793	1877	486
794	1879	484
795	1881	482
796	1883	479
797	1886	477
798	1888	475
799	1891	472
800	1893	470
801	1896	468
802	1898	465
803	1900	463
804	1902	460
805	1905	458
806	1907	456
807	1909	453
808	1911	451
809	1913	448
810	1916	446
811	1918	444
812	1920	441
813	1922	439
814	1924	436
815	1927	434
816	1930	432
817	1932	429
818	1934	427
819	1936	425
820	1938	422
821	1940	420
822	1942	417
823	1944	415
824	1947	413
825	1949	410
826	1951	408
827	1953	405
828	1955	403
829	1957	400
830	1959	398
831	1961	396
832	1964	393
833	1966	391
834	1969	389
835	1972	386
836	1974	384
837	1976	382
838	1978	379
839	1980	377
840	1983	374
841	1985	372
842	1988	370
843	1991	368
844	2003	367
845	2005	365
846	2007	362
847	2010	360
848	2012	357
849	2014	355
850	2016	353
851	2018	350
852	2020	348
853	2022	345
854	2025	343
855	2027	341
856	2030	338
857	2032	336
858	2034	333
859	2036	331
860	2038	329
861	2040	326
862	2042	324
863	2044	321
864	2046	319
865	2049	317
866	2051	314
867	2053	312
868	2055	309
869	2058	307
870	2060	305
871	2062	302
872	2064	300
873	2066	297
874	2069	295
875	2071	293
876	2073	290
877	2075	288
878	2077	285
879	2079	283
880	2081	281
881	2084	278
882	2086	276
883	2088	274
884	2091	271
885	2093	269
886	2095	266
887	2097	264
888	2100	262
889	2102	259
890	2104	257
891	2106	255
892	2109	252
893	2111	250
894	2113	247
895	2115	245
896	2117	243
897	2119	240
898	2122	238
899	2124	236
900	2126	233
901	2128	231
902	2130	228
903	2132	226
904	2134	224
905	2136	221
906	2138	219
907	2140	216
908	2142	214
909	2145	212
910	2147	209
911	2149	207
912	2152	205
913	2154	202
914	2156	200
915	2158	197
916	2161	195
917	2164	193
918	2166	190
919	2168	188
920	2170	186
921	2172	183
922	2174	181
923	2176	179
924	2179	176
925	2181	174
926	2184	172
927	2187	169
928	2189	167
929	2192	164
930	2194	162
931	2197	160
932	2199	157
933	2202	155
934	2204	153
935	2206	150
936	2208	148
937	2210	146
938	2212	143
939	2215	141
940	2217	139
941	2220	136
942	2223	134
943	2225	132
944	2228	129
945	2231	127
946	2233	125
947	2236	122
948	2238	120
949	2240	117
950	2242	115
951	2244	113
952	2246	110
953	2249	108
954	2251	106
955	2253	103
956	2256	101
957	2258	99
958	2261	96
959	2263	94
960	2266	91
961	2268	89
962	2270	87
963	2273	84
964	2275	82
965	2277	80
966	2279	77
967	2281	75
968	2283	73
969	2286	70
970	2289	68
971	2292	66
972	2295	63
973	2297	61
974	2300	58
975	2303	56
976	2305	54
977	2308	51
978	2310	49
979	2313	47
980	2316	44
981	2319	42
982	2321	40
983	2324	37
984	2326	35
985	2329	33
986	2331	30
987	2333	28
988	2335	25
989	2337	23
990	2339	21
991	2341	18
992	2344	16
993	2346	14
994	2348	11
995	2350	9
996	2352	7
997	2354	4
998	2356	2
999	2359	0
